tier,time_ms,center_ms,binary_value
Both,40100,40150,1
Both,40200,40250,1
Both,40300,40350,1
Both,40400,40450,1
RA,40500,40550,1
RA,40600,40650,1
RA,40700,40750,1
RA,40800,40850,1
RA,40900,40950,1
RA,41000,41050,1
RA,41100,41150,1
RA,41200,41250,1
RA,41300,41350,1
RA,41400,41450,1
RA,41500,41550,1
RA,41600,41650,1
RA,41700,41750,1
RA,41800,41850,1
RA,41900,41950,1
RA,42000,42050,1
RA,42100,42150,1
RA,42200,42250,1
RA,42300,42350,1
RA,42400,42450,1
RA,42500,42550,1
RA,42600,42650,1
RA,42700,42750,1
RA,42800,42850,1
RA,42900,42950,1
RA,43000,43050,1
RA,43100,43150,1
RA,43200,43250,1
RA,43300,43350,1
RA,43400,43450,1
RA,43500,43550,1
RA,43600,43650,1
RA,43700,43750,1
RA,43800,43850,1
RA,43900,43950,1
RA,44000,44050,1
RA,44100,44150,1
RA,44200,44250,1
RA,44300,44350,1
Both,44400,44450,1
Both,44500,44550,1
Both,44600,44650,1
Both,44700,44750,1
Both,44800,44850,1
Both,44900,44950,1
Both,45000,45050,1
Both,45100,45150,1
Both,45200,45250,1
Both,45300,45350,1
Both,45400,45450,1
Both,45500,45550,1
Both,45600,45650,1
Both,45700,45750,1
Both,45800,45850,1
Both,45900,45950,1
Both,46000,46050,1
Both,46100,46150,1
Both,46200,46250,1
Both,46300,46350,1
Both,46400,46450,1
Both,46500,46550,1
Both,46600,46650,1
Both,46700,46750,1
Both,46800,46850,1
Both,46900,46950,1
Both,47000,47050,1
Both,47100,47150,1
Both,47200,47250,1
Both,47300,47350,1
Both,47400,47450,1
Both,47500,47550,1
Both,47600,47650,1
Both,47700,47750,1
Both,47800,47850,1
Both,47900,47950,1
RA,48000,48050,1
RA,48100,48150,1
RA,48200,48250,1
RA,48300,48350,1
RA,48400,48450,1
RA,48500,48550,1
RA,48600,48650,1
RA,48700,48750,1
RA,48800,48850,1
RA,48900,48950,1
RA,49000,49050,1
RA,49100,49150,1
RA,49200,49250,1
RA,49300,49350,1
RA,49400,49450,1
RA,49500,49550,1
RA,49600,49650,1
RA,49700,49750,1
RA,49800,49850,1
RA,49900,49950,1
RA,50000,50050,1
RA,50100,50150,1
RA,50200,50250,1
RA,50300,50350,1
RA,50400,50450,1
RA,50500,50550,1
RA,50600,50650,1
RA,50700,50750,1
RA,50800,50850,1
RA,50900,50950,1
RA,51000,51050,1
RA,51100,51150,1
RA,51200,51250,1
RA,51300,51350,1
RA,51400,51450,1
RA,51500,51550,1
RA,51600,51650,1
RA,51700,51750,1
RA,51800,51850,1
RA,51900,51950,1
RA,52000,52050,1
RA,52100,52150,1
RA,52200,52250,1
RA,52300,52350,1
RA,52400,52450,1
RA,52500,52550,1
RA,52600,52650,1
RA,52700,52750,1
RA,52800,52850,1
RA,52900,52950,1
RA,53000,53050,1
RA,53100,53150,1
Both,53200,53250,1
Both,53300,53350,1
Both,53400,53450,1
Both,53500,53550,1
Both,53600,53650,1
Both,53700,53750,1
Both,53800,53850,1
Both,53900,53950,1
Both,54000,54050,1
None,54100,54150,0
None,54200,54250,0
None,54300,54350,0
None,54400,54450,0
None,54500,54550,0
None,54600,54650,0
None,54700,54750,0
None,54800,54850,0
None,54900,54950,0
None,55000,55050,0
RA,55100,55150,1
RA,55200,55250,1
None,55300,55350,0
None,55400,55450,0
None,55500,55550,0
None,55600,55650,0
RA,55700,55750,1
RA,55800,55850,1
RA,55900,55950,1
RA,56000,56050,1
RA,56100,56150,1
None,56200,56250,0
None,56300,56350,0
None,56400,56450,0
None,56500,56550,0
None,56600,56650,0
None,56700,56750,0
None,56800,56850,0
None,56900,56950,0
None,57000,57050,0
None,57100,57150,0
None,57200,57250,0
None,57300,57350,0
None,57400,57450,0
RA,57500,57550,1
RA,57600,57650,1
Both,57700,57750,1
Both,57800,57850,1
Both,57900,57950,1
Both,58000,58050,1
Both,58100,58150,1
Both,58200,58250,1
Both,58300,58350,1
Both,58400,58450,1
Both,58500,58550,1
Both,58600,58650,1
Both,58700,58750,1
Both,58800,58850,1
Both,58900,58950,1
Both,59000,59050,1
Both,59100,59150,1
Both,59200,59250,1
Both,59300,59350,1
Both,59400,59450,1
Both,59500,59550,1
Both,59600,59650,1
Both,59700,59750,1
Both,59800,59850,1
Both,59900,59950,1
Both,60000,60050,1
Both,60100,60150,1
LA,60200,60250,1
LA,60300,60350,1
LA,60400,60450,1
LA,60500,60550,1
LA,60600,60650,1
LA,60700,60750,1
LA,60800,60850,1
LA,60900,60950,1
