time_ms,center_ms,binary_value
52800,52850,0
52900,52950,0
53000,53050,0
53100,53150,0
53200,53250,0
53300,53350,0
53400,53450,0
53500,53550,0
53600,53650,0
53700,53750,0
53800,53850,0
53900,53950,0
54000,54050,0
54100,54150,0
54200,54250,0
54300,54350,0
54400,54450,0
54500,54550,0
54600,54650,0
54700,54750,0
54800,54850,0
54900,54950,0
55000,55050,0
55100,55150,0
55200,55250,0
55300,55350,0
55400,55450,0
55500,55550,0
55600,55650,0
55700,55750,0
55800,55850,0
55900,55950,0
56000,56050,0
56100,56150,0
56200,56250,0
56300,56350,0
56400,56450,0
56500,56550,0
56600,56650,0
56700,56750,0
56800,56850,0
56900,56950,0
57000,57050,0
57100,57150,0
57200,57250,0
57300,57350,0
57400,57450,0
57500,57550,1
57600,57650,1
57700,57750,1
57800,57850,1
57900,57950,1
58000,58050,0
58100,58150,0
58200,58250,0
58300,58350,0
58400,58450,0
58500,58550,0
58600,58650,0
58700,58750,0
58800,58850,0
58900,58950,0
59000,59050,0
59100,59150,0
59200,59250,0
59300,59350,0
59400,59450,0
59500,59550,0
59600,59650,0
59700,59750,0
59800,59850,0
59900,59950,0
60000,60050,0
60100,60150,0
60200,60250,0
60300,60350,0
60400,60450,0
60500,60550,0
60600,60650,0
60700,60750,0
60800,60850,0
60900,60950,0
